CÓDIGO DO SERVIÇO - 47028 (H.Dia)
SNC
OM - GLIOBLASTOMA IDH WILD TYPE
OM - ASTROCITOMA GRAU 2
OM - ASTROCITOMA GRAU 3
OM - ASTROCITOMA GRAU 4 IDH MUTADO
OM - OLIGODENDROGLIOMA GRAU 2
OM - OLIGODENDROGLIOMA GRAU 3
OM - MEDULOBLASTOMA
OM - GERMINOMA
OM - MENINGIOMA
OM - GANGLIOGLIOMA
