CÓDIGO DO SERVIÇO - 47028 (H.Dia)  e 47018 (Ginecologia)
MAMA
OM - MAMA NEOADJUVANTE LUMINAL A 
OM - MAMA ADJUVANTE LUMINAL A 
OM - MAMA PALIATIVO LUMINAL A PIK3CA
OM - MAMA PALIATIVO LUMINAL A ESR1
OM - MAMA NEOADJUVANTE LUMINAL B 
OM - MAMA ADJUVANTE LUMINAL B 
OM - MAMA PALIATIVO LUMINAL B 
OM - MAMA PALIATIVO LUMINAL B PIK3CA
OM - MAMA PALIATIVO LUMINAL B ESR1
OM - MAMA NEOADJUVANTE TRIPLO NEGATIVO 
OM - MAMA ADJUVANTE TRIPLO NEGATIVO 
OM - MAMA PALIATIVO TRIPLO NEGATIVO PDL1 +
OM - MAMA PALIATIVO TRIPLO NEGATIVO 
OM - MAMA NEOADJUVANTE HER2 + PURO 
OM - MAMA PALIATIVO HER2 + PURO 
OM - MAMA PALIATIVO HER2 + PURO 
OM - MAMA NEOADJUVANTE HER2+ LUMINAL B 
OM - MAMA ADJUVANTE HER2+ LUMINAL B
OM - MAMA PALIATIVO HER2+ LUMINAL B 
OM - MAMA ADJUVANTE BRCA POSITIVO
OM - MAMA PALIATIVO BRCA POSITIVO
OM - MAMA - PRIMARIO OCULTO PALIATIVO
